service_id,thematiques
8ee50e1c-ad9d-4b5d-8855-08ee32208fef,"se-former--trouver-sa-formation
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--connaitre-les-opportunites-demploi
trouver-un-emploi--convaincre-un-recruteur-en-entretien
trouver-un-emploi--repondre-a-des-offres-demploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite"
da4d4672-51be-45a2-943b-336dd3c84161,"choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
se-former--monter-son-dossier-de-formation
se-former--trouver-sa-formation
choisir-un-metier--connaitre-les-opportunites-demploi
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences"
87c3c96c-57d4-4c87-879b-08a004090c35,"numerique--maitriser-les-fondamentaux-du-numerique
se-former--trouver-sa-formation
numerique--acceder-a-des-services-en-ligne
preparer-sa-candidature--valoriser-ses-competences"
c6b5a585-c111-49fa-9c41-a1a14c5e88d9,se-former--trouver-sa-formation
faa146fe-3e04-4504-8975-1c00892cf7c0,"mobilite--preparer-un-permis
mobilite--etre-accompagne-dans-son-parcours-mobilite"
c7e31c23-1e6e-463a-b3ed-aeb1c9b26667,"creer-une-entreprise--definir-son-projet-de-creation-dentreprise
creer-une-entreprise--developper-son-entreprise
creer-une-entreprise--structurer-son-projet-de-creation-dentreprise
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--confirmer-son-choix-de-metier
remobilisation--bien-etre-confiance-en-soi"
8938b5d0-d337-410e-b8e0-990b21d5b86c,"preparer-sa-candidature--realiser-un-cv-et-ou-une-lettre-de-motivation
preparer-sa-candidature--valoriser-ses-competences
trouver-un-emploi--convaincre-un-recruteur-en-entretien
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier
se-former--trouver-sa-formation
difficultes-financieres--ameliorer-sa-gestion-budgetaire
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives
se-former--monter-son-dossier-de-formation"
d3c11acd-0cf1-4d5a-954d-24506f9249db,"preparer-sa-candidature--realiser-un-cv-et-ou-une-lettre-de-motivation
trouver-un-emploi--convaincre-un-recruteur-en-entretien
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives
preparer-sa-candidature--valoriser-ses-competences
remobilisation--bien-etre-confiance-en-soi
difficultes-financieres--ameliorer-sa-gestion-budgetaire"
bed7bbe4-7c1d-49c1-8229-4cad8111208a,"famille--soutien-a-la-parentalite-et-a-leducation
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives
difficultes-financieres--acquerir-une-autonomie-budgetaire
difficultes-financieres--ameliorer-sa-gestion-budgetaire
famille--surmonter-conflits-separation-violence
difficultes-administratives-ou-juridiques--accompagnement-pour-lacces-aux-droits
difficultes-financieres--prevenir-une-degradation-de-la-situation-financiere
remobilisation--bien-etre-confiance-en-soi"
32bcb030-bef4-459e-90ee-52e11d34163f,"choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
se-former--trouver-sa-formation
preparer-sa-candidature--valoriser-ses-competences"
7c8925b5-f426-4af2-bf62-f2b81febc13d,"mobilite--etre-accompagne-dans-son-parcours-mobilite
mobilite--mobilite-douce-partagee-collective
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives"
ef2259c2-1f34-46fd-a70a-d3d989d2e396,"trouver-un-emploi--maintien-dans-lemploi
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--identifier-ses-points-forts-et-ses-competences"
7fd9e9a9-ffa1-490c-850e-789bc8c0973e,"choisir-un-metier--connaitre-les-opportunites-demploi
difficultes-administratives-ou-juridiques--accompagnement-pour-lacces-aux-droits
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
mobilite--mobilite-douce-partagee-collective
trouver-un-emploi--repondre-a-des-offres-demploi
trouver-un-emploi--convaincre-un-recruteur-en-entretien"
922caa70-a1aa-4886-bf95-f94ac872bd12,"famille--surmonter-conflits-separation-violence
difficultes-administratives-ou-juridiques--accompagnement-pour-lacces-aux-droits
difficultes-administratives-ou-juridiques--prendre-en-compte-une-problematique-judiciaire
difficultes-administratives-ou-juridiques--beneficier-dune-mesure-daccompagnement-adapte
remobilisation--bien-etre-confiance-en-soi
sante--sante-mentale
remobilisation--lien-social"
d363d04c-43ab-402b-bf8c-2f21d409753f,"famille--soutien-a-la-parentalite-et-a-leducation
famille--surmonter-conflits-separation-violence
sante--sante-mentale
remobilisation--bien-etre-confiance-en-soi
difficultes-administratives-ou-juridiques--accompagnement-pour-lacces-aux-droits"
